formula,Property Test temperature,Property Test temperature units,Property Type of test,Property YS,Property YS units,Property Processing method
Co$_{0.25}$CrNi,25.0,$^\circ$C,T,356.0,MPa,WROUGHT
Al$_{0.5}$MoNbTiV,25.0,$^\circ$C,C,1625.0,MPa,CAST
HfMo$_{0.5}$NbSi$_{0.5}$TiV$_{0.5}$,25.0,$^\circ$C,C,1787.0,MPa,CAST
MoNbTaVW,1400.0,$^\circ$C,C,656.0,MPa,CAST
MoNbTaW,25.0,$^\circ$C,C,1217.0,MPa,POWDER
AlCrCuFeNi$_{0.8}$,25.0,$^\circ$C,,,,ANNEAL
CoCuFeMnNi,900.0,$^\circ$C,,,,CAST
Hf$_{0.787}$Nb$_{0.142}$Ta$_{0.142}$TiZr$_{0.787}$,25.0,$^\circ$C,T,540.0,MPa,WROUGHT
Cr$_{0.286}$Mo$_{0.476}$NbTa$_{0.024}$Ti$_{0.31}$V$_{0.286}$,25.0,$^\circ$C,C,2680.0,MPa,POWDER
FeMnNi,25.0,$^\circ$C,T,372.0,MPa,WROUGHT
Al$_{0.667}$CoCrCuFeMnNiTiV,25.0,$^\circ$C,C,1461.0,MPa,CAST
CoCrFeMnNi,25.0,$^\circ$C,T,494.82,MPa,WROUGHT
AlNbTiV,25.0,$^\circ$C,C,1000.0,MPa,ANNEAL
HfNbTaTiZr,300.0,$^\circ$C,,,,WROUGHT
AlCrFeMo$_{0.5}$Ni,25.0,$^\circ$C,C,1914.1,MPa,CAST
Al$_{0.05}$Cr$_{0.5}$FeMn$_{0.625}$Ni$_{0.375}$,600.0,$^\circ$C,C,155.0,MPa,CAST
Al$_{0.774}$FeMn$_{0.903}$Ni$_{0.484}$Ti$_{0.026}$,,,,,,CAST
AlCoCrFeNiTi$_{0.5}$,25.0,$^\circ$C,C,2260.0,MPa,CAST
Al$_{0.417}$Co$_{0.833}$Cr$_{0.833}$Cu$_{0.833}$Fe$_{0.833}$Ni$_{0.833}$Ti,25.0,$^\circ$C,,,,CAST
Co$_{0.286}$Cr$_{0.429}$FeMn$_{0.143}$Ni$_{0.714}$V$_{0.286}$,25.0,$^\circ$C,T,210.0,MPa,WROUGHT
Co$_{0.2}$Cr$_{0.2}$FeMn$_{0.6}$,25.0,$^\circ$C,T,350.0,MPa,WROUGHT
AlCo$_{0.234}$Cr$_{0.468}$Cu$_{0.106}$Fe$_{0.213}$Ni$_{0.106}$,,,,,,
HfScTiZr,25.0,$^\circ$C,C,1001.0,MPa,CAST
B$_{0.012}$Co$_{0.202}$Cr$_{0.202}$FeMn$_{0.607}$,,,,,,CAST
CoFeNi,25.0,$^\circ$C,T,211.0,MPa,WROUGHT
AlCo$_{0.255}$Cr$_{0.426}$Cu$_{0.106}$Fe$_{0.234}$Ni$_{0.106}$,,,,,,
AlCoCuFeNiSi,25.0,$^\circ$C,,,,CAST
AlCo$_{0.278}$Cr$_{0.861}$Cu$_{0.167}$Fe$_{0.25}$Ni$_{0.222}$,,,,,,
CoCrCuFeNiTi,25.0,$^\circ$C,C,1272.0,MPa,CAST
Mo$_{0.1}$NbTiV$_{0.3}$Zr,25.0,$^\circ$C,C,932.0,MPa,ANNEAL
AlNbTiZr,25.0,$^\circ$C,C,1579.0,MPa,ANNEAL
HfNbTaTiZr,280.0,$^\circ$C,,,,WROUGHT
HfMo$_{0.5}$NbSi$_{0.3}$TiV$_{0.5}$,23.0,$^\circ$C,C,1617.0,MPa,CAST
CrMoNbTi,600.0,$^\circ$C,C,1062.0,MPa,ANNEAL
AlCu$_{0.077}$Mg$_{0.077}$Ni$_{0.077}$Si$_{0.231}$Zn$_{0.077}$,25.0,$^\circ$C,C,534.0,MPa,CAST
CoFeNi,25.0,$^\circ$C,T,201.0,MPa,WROUGHT
HfNbTaZr,25.0,$^\circ$C,C,2310.0,MPa,ANNEAL
Al$_{0.304}$CoCrFeNi,25.0,$^\circ$C,T,280.0,MPa,ANNEAL
AlCo$_{0.4}$Cr$_{0.4}$Cu$_{0.4}$Fe$_{0.4}$,25.0,$^\circ$C,,,,
Al$_{0.25}$Cr$_{0.5}$Nb$_{0.5}$TiV$_{0.25}$,25.0,$^\circ$C,C,1340.0,MPa,ANNEAL
Co$_{0.286}$Cr$_{0.429}$FeMn$_{0.143}$Ni$_{0.714}$V$_{0.286}$,25.0,$^\circ$C,T,350.0,MPa,WROUGHT
NbTiVZr,800.0,$^\circ$C,C,187.0,MPa,OTHER
AlCo$_{0.535}$Cr$_{0.488}$Fe$_{0.186}$Ni$_{0.116}$,,,,,,
Co$_{0.25}$Cr$_{0.25}$FeMn,25.0,$^\circ$C,T,559.0,MPa,WROUGHT
Hf$_{0.25}$Nb$_{0.375}$TiV$_{0.5}$Zr$_{0.5}$,25.0,$^\circ$C,C,1025.0,MPa,CAST
CoCuFeNi,25.0,$^\circ$C,T,,,CAST
CoCrCuFeNiTi$_{0.5}$,25.0,$^\circ$C,C,700.0,MPa,CAST
Co$_{0.986}$Cr$_{0.952}$Fe$_{0.933}$Mn$_{0.914}$Ni,25.0,$^\circ$C,T,1135.0,MPa,WROUGHT
Al$_{0.167}$CoCrFeNiTi$_{0.083}$,25.0,$^\circ$C,T,1005.0,MPa,WROUGHT
CoCrCuFeNi,25.0,$^\circ$C,,,,CAST
Al$_{0.15}$Cr$_{0.5}$Cu$_{0.25}$Fe$_{0.5}$Ni,25.0,$^\circ$C,T,255.0,MPa,WROUGHT
AlLiMgSnZn,25.0,$^\circ$C,C,600.0,MPa,CAST
AlCo$_{0.5}$Cr$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$Ni$_{0.5}$,700.0,$^\circ$C,C,567.0,MPa,CAST
Al$_{0.5}$NbTa$_{0.5}$TiZr,25.0,$^\circ$C,C,1740.0,MPa,WROUGHT
Al$_{0.3}$CoCrFeNi,25.0,$^\circ$C,T,161.0,MPa,WROUGHT
CrCuFeMnNi,,,,,,ANNEAL
HfNbTaTiZr,25.0,$^\circ$C,C,1073.0,MPa,CAST
HfNbTaTi,20.0,$^\circ$C,C,834.0,MPa,ANNEAL
Co$_{0.476}$Cr$_{0.476}$Fe$_{0.476}$Nb$_{0.19}$Ni,25.0,$^\circ$C,T,640.0,MPa,CAST
MoNbSi$_{0.75}$TaW,800.0,$^\circ$C,,,,POWDER
CoCr$_{0.053}$Ni,25.0,$^\circ$C,T,,,WROUGHT
Al$_{0.229}$Co$_{0.486}$Cr$_{0.4}$Cu$_{0.229}$Fe$_{0.486}$Mo$_{0.003}$NiTi$_{0.029}$W$_{0.003}$,,,,,,ANNEAL
AlNbTiV,25.0,$^\circ$C,C,1020.0,MPa,ANNEAL
HfNbTaTiZr,25.0,$^\circ$C,T,827.0,MPa,CAST
AlMoNbTi,1000.0,$^\circ$C,C,540.0,MPa,ANNEAL
NbTiZr,25.0,$^\circ$C,T,956.0,MPa,CAST
Nb$_{0.5}$Ti$_{0.5}$VZr$_{0.5}$,25.0,$^\circ$C,C,918.0,MPa,OTHER
AlCoCrFeNb$_{0.1}$Ni,25.0,$^\circ$C,C,1641.0,MPa,CAST
HfMoNbTaZr,1400.0,$^\circ$C,C,278.0,MPa,CAST
MoNbRe$_{0.5}$W,25.0,$^\circ$C,C,896.0,MPa,CAST
CoCrFeMnMo$_{0.087}$Ni,25.0,$^\circ$C,C,330.0,MPa,CAST
AlCuFeNiTi,25.0,$^\circ$C,C,1074.0,MPa,CAST
AlCoCrCuNiTiY$_{0.8}$,25.0,$^\circ$C,C,,,CAST
HfMoNbTaTiZr,25.0,$^\circ$C,C,1512.0,MPa,CAST
CrMoTaTi,800.0,$^\circ$C,C,1162.0,MPa,ANNEAL
CoCrMoNbTi$_{0.5}$,25.0,$^\circ$C,C,,,CAST
AlCrFeMo$_{0.5}$NiTi$_{0.6}$,25.0,$^\circ$C,C,1314.5,MPa,CAST
AlNbTiZr,25.0,$^\circ$C,C,1080.0,MPa,
Al$_{0.667}$NbTa$_{0.333}$TiZr$_{0.333}$,25.0,$^\circ$C,C,1280.0,MPa,OTHER
MoNbTaVW,1600.0,$^\circ$C,C,477.0,MPa,CAST
CoCrNi,,,,,,
AlCo$_{0.362}$Cr$_{0.34}$Cu$_{0.106}$Fe$_{0.213}$Ni$_{0.106}$,,,,,,
MoNbTaTiVW,1200.0,$^\circ$C,C,659.0,MPa,CAST
HfNbTiZr,25.0,$^\circ$C,T,879.0,MPa,CAST
CoCrFeMnNi,25.0,$^\circ$C,T,366.88,MPa,WROUGHT
Al$_{0.4}$Cr$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$Ni,25.0,$^\circ$C,,,,
